0,0,0,0,0,0,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,BAYVIEW,CENTRAL,INGLESIDE,MISSION,NORTHERN,PARK,RICHMOND,SOUTHERN,TARAVAL,TENDERLOIN,X,Y,crime
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01598,0.41972,37
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01598,0.41972,21
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01597,0.42,21
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01599,0.42001,16
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.01609,0.41968,16
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01579,0.41904,16
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01596,0.41917,36
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01553,0.4192,36
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.01667,0.41974,16
-0.2588190451,0.9659258263,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01593,0.42009,16
-0.5,0.8660254038,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01593,0.42009,16
-0.5,0.8660254038,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0165,0.41931,21
-0.5,0.8660254038,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01587,0.41981,35
-0.5,0.8660254038,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01604,0.41983,16
-0.5,0.8660254038,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01575,0.41922,20
-0.5,0.8660254038,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01563,0.41937,20
-0.5,0.8660254038,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01587,0.41982,25
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01595,0.41936,1
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01565,0.41932,21
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01587,0.41981,20
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01618,0.41936,16
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01594,0.41941,25
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01587,0.41981,37
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01587,0.41981,20
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01607,0.42,16
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01585,0.41984,20
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01603,0.41986,16
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01596,0.41925,16
-0.7071067812,0.7071067812,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0164,0.41939,16
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.0166,0.41943,21
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01603,0.41981,16
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.01606,0.41958,20
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01604,0.41982,35
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01603,0.41984,16
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01603,0.41984,35
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0157,0.41976,16
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01603,0.41995,16
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01602,0.41988,16
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01637,0.41913,38
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01604,0.41901,35
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01581,0.41985,20
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01595,0.4197,16
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01582,0.41984,16
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01576,0.41922,21
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01576,0.41922,21
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01589,0.41988,21
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01596,0.41928,36
-0.8660254038,0.5,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01636,0.41962,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01584,0.41988,20
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.01616,0.41966,4
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01576,0.4195,25
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01576,0.4195,1
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01579,0.41986,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01575,0.41975,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01594,0.41969,32
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01577,0.41987,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01595,0.41984,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01586,0.41968,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.016,0.41983,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01577,0.4199,36
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01577,0.4199,36
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01587,0.41989,8
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01587,0.41989,32
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01573,0.41993,20
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01586,0.41969,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01639,0.41919,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0159,0.41983,37
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0159,0.41983,37
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.0159,0.41983,21
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01573,0.41976,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01573,0.41976,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01605,0.41984,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01574,0.41914,16
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.01595,0.41943,36
-0.9659258263,0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01583,0.41988,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.01593,0.41962,37
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.01593,0.41962,37
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.01612,0.41956,20
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01574,0.41977,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.01588,0.4196,21
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01578,0.41997,20
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01595,0.41994,20
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01595,0.41994,38
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01589,0.4198,21
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1.01586,0.41942,21
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.01607,0.41977,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.01671,0.41976,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01592,0.41918,4
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01604,0.41982,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01582,0.41991,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01594,0.41979,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1.01589,0.41982,20
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.01632,0.41933,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01592,0.42001,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01594,0.42005,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.0158,0.41921,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1.01589,0.41945,21
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.01585,0.41979,4
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01566,0.41956,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.01606,0.4196,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.01619,0.41972,16
-1,-1.83697019872E-16,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01592,0.42006,16
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0159,0.41976,12
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0159,0.41976,12
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1.0159,0.41976,4
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01583,0.42,20
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1.01595,0.41985,16
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01562,0.41923,7
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01562,0.41923,21
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01562,0.41923,1
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.01562,0.41923,30
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0159,0.41985,27
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1.01632,0.41969,16
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.0159,0.41985,21
-0.9659258263,-0.2588190451,0.4853019625,-0.8743466161,0.5,-0.8660254038,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.01584,0.41999,1
