Dates,Category,DayOfWeek,PdDistrict,Address,X,Y
2015-05-13 23:53:00,WARRANTS,Wednesday,NORTHERN,OAK ST / LAGUNA ST,-122.4258916751,37.7745985957
2015-05-13 23:53:00,OTHER OFFENSES,Wednesday,NORTHERN,OAK ST / LAGUNA ST,-122.4258916751,37.7745985957
2015-05-13 23:33:00,OTHER OFFENSES,Wednesday,NORTHERN,VANNESS AV / GREENWICH ST,-122.4243630215,37.800414322
2015-05-13 23:30:00,LARCENY/THEFT,Wednesday,NORTHERN,1500 Block of LOMBARD ST,-122.4269953268,37.8008726328
2015-05-13 23:30:00,LARCENY/THEFT,Wednesday,PARK,100 Block of BRODERICK ST,-122.4387376228,37.7715411721
2015-05-13 23:30:00,LARCENY/THEFT,Wednesday,INGLESIDE,0 Block of TEDDY AV,-122.4032523612,37.7134307041
2015-05-13 23:30:00,VEHICLE THEFT,Wednesday,INGLESIDE,AVALON AV / PERU AV,-122.4233269767,37.7251380404
2015-05-13 23:30:00,VEHICLE THEFT,Wednesday,BAYVIEW,KIRKWOOD AV / DONAHUE ST,-122.3712743174,37.727564072
2015-05-13 23:00:00,LARCENY/THEFT,Wednesday,RICHMOND,600 Block of 47TH AV,-122.5081940311,37.7766012607
2015-05-13 23:00:00,LARCENY/THEFT,Wednesday,CENTRAL,JEFFERSON ST / LEAVENWORTH ST,-122.4190876767,37.8078015517
2015-05-13 22:58:00,LARCENY/THEFT,Wednesday,CENTRAL,JEFFERSON ST / LEAVENWORTH ST,-122.4190876767,37.8078015517
2015-05-13 22:30:00,OTHER OFFENSES,Wednesday,TARAVAL,0 Block of ESCOLTA WY,-122.4879830728,37.7376666543
2015-05-13 22:30:00,VANDALISM,Wednesday,TENDERLOIN,TURK ST / JONES ST,-122.4124142636,37.7830037965
2015-05-13 22:06:00,LARCENY/THEFT,Wednesday,NORTHERN,FILLMORE ST / GEARY BL,-122.4329146035,37.7843533427
2015-05-13 22:00:00,NON-CRIMINAL,Wednesday,BAYVIEW,200 Block of WILLIAMS AV,-122.3977444271,37.7299346936
2015-05-13 22:00:00,NON-CRIMINAL,Wednesday,BAYVIEW,0 Block of MENDELL ST,-122.383691504,37.743189042
2015-05-13 22:00:00,ROBBERY,Wednesday,TENDERLOIN,EDDY ST / JONES ST,-122.4125973772,37.7839320277
2015-05-13 21:55:00,ASSAULT,Wednesday,INGLESIDE,GODEUS ST / MISSION ST,-122.4216815316,37.7428222005
2015-05-13 21:40:00,OTHER OFFENSES,Wednesday,BAYVIEW,MENDELL ST / HUDSON AV,-122.38640087,37.7389834911
2015-05-13 21:30:00,NON-CRIMINAL,Wednesday,TENDERLOIN,100 Block of JONES ST,-122.4122497676,37.7825563302
2015-05-13 21:30:00,LARCENY/THEFT,Wednesday,INGLESIDE,200 Block of EVELYN WY,-122.4493891113,37.7426688026
2015-05-13 21:17:00,ROBBERY,Wednesday,INGLESIDE,1600 Block of VALENCIA ST,-122.4202721353,37.7473316299
